EURUSD,Open,High,Low,Close,Range HL
23.07.2013,1.3186,1.3239,1.3164,1.3223,75
24.07.2013,1.3223,1.3256,1.3177,1.3201,79
25.07.2013,1.3201,1.3296,1.3166,1.3277,130
26.07.2013,1.3277,1.3297,1.3253,1.3279,44
29.07.2013,1.3278,1.3295,1.3239,1.3262,56
30.07.2013,1.3262,1.3302,1.3235,1.3263,67
31.07.2013,1.3263,1.3345,1.321,1.3302,135
01.08.2013,1.3302,1.3311,1.3194,1.3207,117
02.08.2013,1.3207,1.3294,1.319,1.3276,104
05.08.2013,1.328,1.33,1.3233,1.3258,67
06.08.2013,1.3258,1.3323,1.3246,1.3305,77
07.08.2013,1.3305,1.3345,1.3266,1.3336,79
08.08.2013,1.3336,1.34,1.3328,1.3381,72
09.08.2013,1.3381,1.3391,1.3333,1.3342,58
12.08.2013,1.3339,1.3344,1.3277,1.33,67
13.08.2013,1.33,1.3317,1.3234,1.3263,83
14.08.2013,1.3263,1.328,1.3239,1.3255,41
15.08.2013,1.3255,1.3363,1.3206,1.3347,157
16.08.2013,1.3347,1.338,1.3311,1.3329,69
19.08.2013,1.3331,1.3375,1.3316,1.3335,59
20.08.2013,1.3335,1.3452,1.3324,1.3417,128
21.08.2013,1.3417,1.3427,1.3336,1.3355,91
22.08.2013,1.3355,1.3373,1.3298,1.3356,75
23.08.2013,1.3356,1.341,1.3334,1.3383,76
26.08.2013,1.338,1.3395,1.3357,1.3368,38
27.08.2013,1.3368,1.3399,1.3323,1.3393,76
28.08.2013,1.3393,1.3398,1.3305,1.334,93
29.08.2013,1.334,1.3343,1.322,1.3241,123
30.08.2013,1.3241,1.3255,1.3174,1.3222,81
02.09.2013,1.3228,1.3236,1.3184,1.3192,52
03.09.2013,1.3192,1.3197,1.3139,1.317,58
04.09.2013,1.317,1.3218,1.3157,1.3207,61
05.09.2013,1.3207,1.3223,1.3111,1.312,112
06.09.2013,1.312,1.3189,1.3105,1.3178,84
09.09.2013,1.3176,1.3281,1.316,1.3255,121
10.09.2013,1.3255,1.3276,1.323,1.3268,46
11.09.2013,1.3268,1.3325,1.3244,1.3311,81
12.09.2013,1.3311,1.3325,1.3258,1.3299,67
13.09.2013,1.3299,1.3321,1.3254,1.3294,67
16.09.2013,1.3307,1.3386,1.3293,1.3334,93
17.09.2013,1.3334,1.3369,1.3326,1.3359,43
18.09.2013,1.3359,1.3542,1.3338,1.3521,204
19.09.2013,1.3521,1.3569,1.3501,1.353,68
20.09.2013,1.353,1.3549,1.3498,1.3524,51
23.09.2013,1.3541,1.3554,1.348,1.3493,74
24.09.2013,1.3493,1.3519,1.3465,1.3474,54
25.09.2013,1.3474,1.3537,1.3462,1.3526,75
26.09.2013,1.3526,1.3532,1.3472,1.3489,60
27.09.2013,1.3489,1.3565,1.3474,1.3522,91
30.09.2013,1.3494,1.3556,1.3469,1.3527,87
01.10.2013,1.3527,1.3588,1.3517,1.3526,71
02.10.2013,1.3526,1.3607,1.3505,1.3579,102
03.10.2013,1.3579,1.3646,1.3578,1.3619,68
04.10.2013,1.3619,1.3632,1.3539,1.3558,93
07.10.2013,1.3554,1.3591,1.3543,1.3581,48
08.10.2013,1.3581,1.3607,1.3558,1.3573,49
09.10.2013,1.3573,1.3605,1.3486,1.3524,119
10.10.2013,1.3524,1.3547,1.3488,1.352,59
11.10.2013,1.352,1.3582,1.3518,1.3544,64
14.10.2013,1.3545,1.3598,1.3544,1.3561,54
15.10.2013,1.3561,1.3571,1.348,1.3524,91
16.10.2013,1.3524,1.3568,1.3473,1.3534,95
17.10.2013,1.3535,1.3682,1.3516,1.3675,166
18.10.2013,1.3675,1.3704,1.3659,1.3687,45
21.10.2013,1.3684,1.3691,1.3651,1.3681,40
22.10.2013,1.3681,1.3792,1.3663,1.3781,129
23.10.2013,1.3781,1.3793,1.3742,1.3776,51
24.10.2013,1.3776,1.3825,1.3765,1.3801,60
25.10.2013,1.3801,1.3832,1.3775,1.3802,57
28.10.2013,1.3805,1.3818,1.3775,1.3785,43
29.10.2013,1.3785,1.3813,1.3737,1.3745,76
30.10.2013,1.3745,1.3785,1.3696,1.3736,89
31.10.2013,1.3736,1.3739,1.3575,1.3584,164
01.11.2013,1.3584,1.359,1.348,1.3487,110
04.11.2013,1.3489,1.3524,1.3442,1.3514,82
05.11.2013,1.3514,1.3523,1.3449,1.3474,74
